Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr (g/s),Boost (psi),Oil Temp (F),Req Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Baro Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Volt (V),RPM (RPM),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.1-16467][2017 USDM WRX MT COBB Custom Features Gen1][Reflash: SUB0498551.ptm - Realtime: SUB0498551.ptm]
calculated_load,target_AFR,AFR,DAM,feedback_knock,fine_knock_learn,fuel_pressure,fuel_pressure_target,gear,intake_temp,MAF_corr,Boost (psi),oil_Temp,reg_torque,TD_boost_error,TGV_map_ratio,AF_correction1,AF_learning1,AF_ratio1,accel_position,pressure,coolant_temp,ignition_timing,inj_duty_cycle,intake_temp,MAF_volt,RPM,throttle_pos,wastegate_duty,AP_info
